# Engine name: Sugar Rocket
# Tue Mar 14 00:46:59 2023
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, MPa  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.9140      0.4259      0.0000      4.0000      0.0000   1520.4918     39.5692      1.1502      1.1139    856.8263    112.3523    131.5545      1.4237      1.6340      0.8816 
     1.9140      0.4277      0.0000      4.0000      0.0000   1520.6915     39.5717      1.1501      1.1139    856.8866    112.3626    131.5643      1.4237      1.6340      0.8816 
     1.9140      0.4295      0.0000      4.0000      0.0000   1520.8903     39.5742      1.1501      1.1139    856.9465    112.3729    131.5739      1.4237      1.6340      0.8817 
     1.9140      0.4313      0.0000      4.0000      0.0000   1521.0881     39.5766      1.1500      1.1140    857.0062    112.3831    131.5836      1.4237      1.6340      0.8817 
     1.9140      0.4331      0.0000      4.0000      0.0000   1521.2849     39.5790      1.1500      1.1140    857.0656    112.3933    131.5932      1.4237      1.6340      0.8817 
     1.9140      0.4349      0.0000      4.0000      0.0000   1521.4807     39.5815      1.1499      1.1140    857.1247    112.4034    131.6027      1.4237      1.6339      0.8818 
     1.9140      0.4367      0.0000      4.0000      0.0000   1521.6755     39.5839      1.1499      1.1140    857.1835    112.4135    131.6122      1.4237      1.6339      0.8818 
     1.9140      0.4385      0.0000      4.0000      0.0000   1521.8694     39.5863      1.1498      1.1140    857.2421    112.4235    131.6217      1.4237      1.6339      0.8819 
     1.9140      0.4403      0.0000      4.0000      0.0000   1522.0624     39.5887      1.1498      1.1141    857.3004    112.4335    131.6310      1.4237      1.6339      0.8819 
     1.9140      0.4421      0.0000      4.0000      0.0000   1522.2543     39.5911      1.1497      1.1141    857.3584    112.4434    131.6404      1.4237      1.6339      0.8820 
     1.9140      0.4439      0.0000      4.0000      0.0000   1522.4454     39.5935      1.1497      1.1141    857.4161    112.4533    131.6497      1.4237      1.6339      0.8820 
     1.9140      0.4457      0.0000      4.0000      0.0000   1522.6355     39.5958      1.1496      1.1141    857.4736    112.4631    131.6589      1.4237      1.6339      0.8821 
     1.9140      0.4475      0.0000      4.0000      0.0000   1522.8247     39.5982      1.1496      1.1141    857.5309    112.4729    131.6682      1.4237      1.6339      0.8821 
     1.9140      0.4493      0.0000      4.0000      0.0000   1523.0130     39.6005      1.1496      1.1142    857.5878    112.4826    131.6773      1.4237      1.6339      0.8822 
     1.9140      0.4511      0.0000      4.0000      0.0000   1523.2004     39.6028      1.1495      1.1142    857.6445    112.4923    131.6864      1.4237      1.6338      0.8822 
     1.9140      0.4529      0.0000      4.0000      0.0000   1523.3869     39.6052      1.1495      1.1142    857.7010    112.5019    131.6955      1.4237      1.6338      0.8823 
     1.9140      0.4547      0.0000      4.0000      0.0000   1523.5725     39.6075      1.1494      1.1142    857.7572    112.5115    131.7045      1.4237      1.6338      0.8823 
     1.9140      0.4565      0.0000      4.0000      0.0000   1523.7573     39.6098      1.1494      1.1142    857.8132    112.5210    131.7135      1.4237      1.6338      0.8823 
     1.9140      0.4583      0.0000      4.0000      0.0000   1523.9411     39.6121      1.1493      1.1143    857.8689    112.5305    131.7224      1.4237      1.6338      0.8824 
     1.9140      0.4601      0.0000      4.0000      0.0000   1524.1241     39.6143      1.1493      1.1143    857.9243    112.5399    131.7313      1.4237      1.6338      0.8824 
     1.9140      0.4619      0.0000      4.0000      0.0000   1524.3062     39.6166      1.1492      1.1143    857.9795    112.5493    131.7402      1.4237      1.6338      0.8825 
     1.9140      0.4637      0.0000      4.0000      0.0000   1524.4875     39.6188      1.1492      1.1143    858.0345    112.5587    131.7490      1.4237      1.6338      0.8825 
     1.9140      0.4655      0.0000      4.0000      0.0000   1524.6679     39.6211      1.1491      1.1143    858.0892    112.5680    131.7577      1.4237      1.6338      0.8826 
     1.9140      0.4673      0.0000      4.0000      0.0000   1524.8475     39.6233      1.1491      1.1144    858.1437    112.5772    131.7664      1.4237      1.6337      0.8826 
     1.9140      0.4691      0.0000      4.0000      0.0000   1525.0262     39.6256      1.1490      1.1144    858.1980    112.5864    131.7751      1.4237      1.6337      0.8827 
     1.9140      0.4709      0.0000      4.0000      0.0000   1525.2041     39.6278      1.1490      1.1144    858.2520    112.5956    131.7837      1.4237      1.6337      0.8827 
     1.9140      0.4727      0.0000      4.0000      0.0000   1525.3812     39.6300      1.1490      1.1144    858.3058    112.6047    131.7923      1.4237      1.6337      0.8827 
     1.9140      0.4745      0.0000      4.0000      0.0000   1525.5575     39.6322      1.1489      1.1144    858.3594    112.6138    131.8009      1.4237      1.6337      0.8828 
     1.9140      0.4763      0.0000      4.0000      0.0000   1525.7330     39.6344      1.1489      1.1145    858.4127    112.6228    131.8094      1.4237      1.6337      0.8828 
     1.9140      0.4781      0.0000      4.0000      0.0000   1525.9077     39.6365      1.1488      1.1145    858.4658    112.6318    131.8179      1.4237      1.6337      0.8829 
     1.9140      0.4799      0.0000      4.0000      0.0000   1526.0815     39.6387      1.1488      1.1145    858.5187    112.6408    131.8263      1.4237      1.6337      0.8829 
     1.9140      0.4817      0.0000      4.0000      0.0000   1526.2546     39.6409      1.1487      1.1145    858.5713    112.6497    131.8347      1.4237      1.6337      0.8829 
     1.9140      0.4835      0.0000      4.0000      0.0000   1526.4269     39.6430      1.1487      1.1145    858.6237    112.6585    131.8431      1.4237      1.6336      0.8830 
     1.9140      0.4853      0.0000      4.0000      0.0000   1526.5985     39.6451      1.1486      1.1146    858.6759    112.6674    131.8514      1.4237      1.6336      0.8830 
     1.9140      0.4871      0.0000      4.0000      0.0000   1526.7692     39.6473      1.1486      1.1146    858.7279    112.6762    131.8597      1.4237      1.6336      0.8831 
     1.9140      0.4889      0.0000      4.0000      0.0000   1526.9392     39.6494      1.1486      1.1146    858.7797    112.6849    131.8679      1.4237      1.6336      0.8831 
     1.9140      0.4907      0.0000      4.0000      0.0000   1527.1085     39.6515      1.1485      1.1146    858.8313    112.6936    131.8761      1.4237      1.6336      0.8832 
     1.9140      0.4925      0.0000      4.0000      0.0000   1527.2770     39.6536      1.1485      1.1146    858.8826    112.7023    131.8843      1.4237      1.6336      0.8832 
     1.9140      0.4943      0.0000      4.0000      0.0000   1527.4447     39.6557      1.1484      1.1147    858.9337    112.7109    131.8924      1.4237      1.6336      0.8832 
     1.9140      0.4961      0.0000      4.0000      0.0000   1527.6117     39.6578      1.1484      1.1147    858.9847    112.7195    131.9005      1.4237      1.6336      0.8833 
     1.9140      0.4979      0.0000      4.0000      0.0000   1527.7779     39.6598      1.1483      1.1147    859.0354    112.7280    131.9085      1.4237      1.6336      0.8833 
     1.9140      0.4997      0.0000      4.0000      0.0000   1527.9435     39.6619      1.1483      1.1147    859.0859    112.7365    131.9165      1.4237      1.6336      0.8834 
     1.9140      0.5015      0.0000      4.0000      0.0000   1528.1083     39.6640      1.1483      1.1147    859.1362    112.7450    131.9245      1.4237      1.6335      0.8834 
     1.9140      0.5033      0.0000      4.0000      0.0000   1528.2724     39.6660      1.1482      1.1148    859.1863    112.7534    131.9325      1.4237      1.6335      0.8834 
     1.9140      0.5051      0.0000      4.0000      0.0000   1528.4357     39.6680      1.1482      1.1148    859.2361    112.7618    131.9404      1.4237      1.6335      0.8835 
     1.9140      0.5069      0.0000      4.0000      0.0000   1528.5984     39.6701      1.1481      1.1148    859.2858    112.7702    131.9483      1.4237      1.6335      0.8835 
     1.9140      0.5087      0.0000      4.0000      0.0000   1528.7604     39.6721      1.1481      1.1148    859.3353    112.7785    131.9561      1.4237      1.6335      0.8836 
     1.9140      0.5105      0.0000      4.0000      0.0000   1528.9216     39.6741      1.1481      1.1148    859.3846    112.7868    131.9639      1.4237      1.6335      0.8836 
     1.9140      0.5123      0.0000      4.0000      0.0000   1529.0822     39.6761      1.1480      1.1148    859.4337    112.7951    131.9717      1.4237      1.6335      0.8836 
     1.9140      0.5141      0.0000      4.0000      0.0000   1529.2421     39.6781      1.1480      1.1149    859.4826    112.8033    131.9794      1.4237      1.6335      0.8837 
     1.9140      0.5159      0.0000      4.0000      0.0000   1529.4013     39.6801      1.1479      1.1149    859.5313    112.8114    131.9871      1.4237      1.6335      0.8837 
     1.9140      0.5177      0.0000      4.0000      0.0000   1529.5598     39.6821      1.1479      1.1149    859.5798    112.8196    131.9948      1.4237      1.6335      0.8838 
     1.9140      0.5195      0.0000      4.0000      0.0000   1529.7176     39.6840      1.1479      1.1149    859.6281    112.8277    132.0024      1.4237      1.6335      0.8838 
     1.9140      0.5213      0.0000      4.0000      0.0000   1529.8748     39.6860      1.1478      1.1149    859.6763    112.8358    132.0100      1.4237      1.6334      0.8838 
     1.9140      0.5231      0.0000      4.0000      0.0000   1530.0313     39.6880      1.1478      1.1150    859.7242    112.8438    132.0176      1.4237      1.6334      0.8839 
     1.9140      0.5249      0.0000      4.0000      0.0000   1530.1872     39.6899      1.1477      1.1150    859.7720    112.8518    132.0252      1.4237      1.6334      0.8839 
     1.9140      0.5267      0.0000      4.0000      0.0000   1530.3424     39.6918      1.1477      1.1150    859.8196    112.8598    132.0327      1.4237      1.6334      0.8839 
     1.9140      0.5285      0.0000      4.0000      0.0000   1530.4969     39.6938      1.1477      1.1150    859.8669    112.8677    132.0401      1.4237      1.6334      0.8840 
     1.9140      0.5303      0.0000      4.0000      0.0000   1530.6508     39.6957      1.1476      1.1150    859.9141    112.8756    132.0476      1.4237      1.6334      0.8840 
     1.9140      0.5321      0.0000      4.0000      0.0000   1530.8041     39.6976      1.1476      1.1150    859.9612    112.8835    132.0550      1.4237      1.6334      0.8841 
     1.9140      0.5339      0.0000      4.0000      0.0000   1530.9567     39.6995      1.1476      1.1151    860.0080    112.8913    132.0624      1.4237      1.6334      0.8841 
     1.9140      0.5357      0.0000      4.0000      0.0000   1531.1087     39.7014      1.1475      1.1151    860.0547    112.8991    132.0697      1.4237      1.6334      0.8841 
     1.9140      0.5375      0.0000      4.0000      0.0000   1531.2601     39.7033      1.1475      1.1151    860.1012    112.9069    132.0771      1.4237      1.6334      0.8842 
     1.9140      0.5393      0.0000      4.0000      0.0000   1531.4109     39.7052      1.1474      1.1151    860.1475    112.9146    132.0844      1.4237      1.6334      0.8842 
     1.9140      0.5411      0.0000      4.0000      0.0000   1531.5610     39.7071      1.1474      1.1151    860.1936    112.9223    132.0916      1.4237      1.6333      0.8842 
     1.9140      0.5429      0.0000      4.0000      0.0000   1531.7105     39.7090      1.1474      1.1151    860.2396    112.9300    132.0988      1.4237      1.6333      0.8843 
     1.9140      0.5447      0.0000      4.0000      0.0000   1531.8594     39.7108      1.1473      1.1152    860.2853    112.9376    132.1060      1.4237      1.6333      0.8843 
     1.9140      0.5465      0.0000      4.0000      0.0000   1532.0077     39.7127      1.1473      1.1152    860.3310    112.9453    132.1132      1.4237      1.6333      0.8843 
     1.9140      0.5483      0.0000      4.0000      0.0000   1532.1554     39.7145      1.1473      1.1152    860.3764    112.9528    132.1204      1.4237      1.6333      0.8844 
     1.9140      0.5501      0.0000      4.0000      0.0000   1532.3025     39.7164      1.1472      1.1152    860.4217    112.9604    132.1275      1.4237      1.6333      0.8844 
     1.9140      0.5519      0.0000      4.0000      0.0000   1532.4490     39.7182      1.1472      1.1152    860.4668    112.9679    132.1346      1.4237      1.6333      0.8845 
     1.9140      0.5537      0.0000      4.0000      0.0000   1532.5950     39.7200      1.1471      1.1152    860.5117    112.9754    132.1416      1.4237      1.6333      0.8845 
     1.9140      0.5555      0.0000      4.0000      0.0000   1532.7403     39.7218      1.1471      1.1153    860.5565    112.9828    132.1486      1.4237      1.6333      0.8845 
     1.9140      0.5573      0.0000      4.0000      0.0000   1532.8851     39.7236      1.1471      1.1153    860.6011    112.9903    132.1556      1.4237      1.6333      0.8846 
     1.9140      0.5591      0.0000      4.0000      0.0000   1533.0293     39.7255      1.1470      1.1153    860.6456    112.9977    132.1626      1.4237      1.6333      0.8846 
     1.9140      0.5609      0.0000      4.0000      0.0000   1533.1729     39.7272      1.1470      1.1153    860.6898    113.0050    132.1696      1.4237      1.6332      0.8846 
     1.9140      0.5627      0.0000      4.0000      0.0000   1533.3159     39.7290      1.1470      1.1153    860.7340    113.0124    132.1765      1.4237      1.6332      0.8847 
     1.9140      0.5645      0.0000      4.0000      0.0000   1533.4584     39.7308      1.1469      1.1153    860.7779    113.0197    132.1834      1.4237      1.6332      0.8847 
     1.9140      0.5663      0.0000      4.0000      0.0000   1533.6003     39.7326      1.1469      1.1154    860.8217    113.0269    132.1902      1.4237      1.6332      0.8847 
     1.9140      0.5681      0.0000      4.0000      0.0000   1533.7416     39.7344      1.1469      1.1154    860.8654    113.0342    132.1970      1.4237      1.6332      0.8848 
